name`price`timestamp`url
es00`4274.5`27-06-2021T18:02:51`https://www.marketwatch.com/investing/future/es00
z00`7080.0`27-06-2021T18:02:52`https://www.marketwatch.com/investing/future/z00?countrycode=UK
dax00`15590.0`27-06-2021T18:02:54`https://www.marketwatch.com/investing/future/dax00?countryCode=DE&iso=XEUR
